#_in-n-outs,Pop_2021,total_mileage_of_freeways,densityMi,growthSince2010,#_BurgerKing,#_innout_state,median_income_capita,GDP _capita,Percent_Change_GDP,percent_white,GDP_tate,CA_Dummy,innout_tree
0,31133,0,27.38003503,0.010209356,0,4,24590,28,3.1,89.4,385834.80,0,0
0,31042,33.141,52.58717105,0.142137601,1,4,34842,79,8.2,92.9,385834.80,0,0
0,31015,56.765,34.88535755,-0.041389851,1,39,20299,35,1.3,71.8,1876327.80,0,0
0,30132,95.349,47.51083591,0.080057712,0,39,22878,51,11,94.1,1876327.80,0,0
0,28878,104.384,38.20330368,0.130130807,0,39,21357,34,-2.3,89.1,1876327.80,0,0
0,28868,0,22.965625,0.043929117,1,4,21297,51,0,90.7,385834.80,0,0
0,28692,159.239,29.72358591,-0.085773372,0,39,21674,31,3,90.4,1876327.80,0,0
0,28675,109.91,22.18949772,0.036803926,2,267,22977,38,-8.6,89.1,2885627.30,1,0
0,28458,15.63702826,18.00188679,0.028790166,0,12,23658,32,4.7,78.1,191965.20,0,0
0,28303,182.615,29.93592437,0.013802426,1,39,18177,35,-2.4,95.5,1876327.80,0,0
0,27655,93.65,27.31809145,-0.039426774,1,267,28113,26,3.5,78.4,2885627.30,1,0
0,27380,71.577,48.69595782,0.050181928,0,39,21084,14,1.5,80.9,1876327.80,0,0
0,27129,146.83,25.41432457,0.110178218,1,3,20231,43,-0.3,90.1,234806.20,0,0
0,26730,114.782,25.79584121,0.098844466,0,39,25946,41,7.8,92.8,1876327.80,0,0
0,26603,255.3,11.38035264,0.07515964,1,3,20975,62,12.1,94.9,234806.20,0,0
0,26255,226.42,12.9263623,0.022642535,3,3,21690,34,5.1,94.2,234806.20,0,0
0,25916,0.503,12.78560867,0.015938907,1,4,23611,68,-4.4,96.5,385834.80,0,0
0,25897,1.02,14.56293895,0.167634064,1,4,36421,1369,5.2,83.8,385834.80,0,0
0,25077,202.696,5.213546948,0.033404349,1,25,24344,46,3.7,87.3,165455.10,0,0
0,24918,142.728,15.47164948,-0.090626775,0,39,22423,36,3.2,84.7,1876327.80,0,0
0,24899,7.981,10.67950889,0.072993322,0,4,35019,75,8.4,93.8,385834.80,0,0
0,24895,104.894,24.34021632,-0.000121178,0,39,30376,24,3.7,75,1876327.80,0,0
0,24607,31.344,45.0951526,0.075717345,1,4,31732,37,1.6,95.5,385834.80,0,0
0,24445,185.591,25.68315789,-0.006312617,0,39,17184,72,6.4,87.5,1876327.80,0,0
0,24300,165.04,8.682779456,0.233006006,0,3,24162,39,15.3,93.9,234806.20,0,0
0,24254,149.022,29.63944724,-0.072893744,34,39,29132,67,14.3,86.3,1876327.80,0,0
0,24232,95.5,14.22571589,0.166482505,20,3,20274,687,-4,95.3,234806.20,0,0
0,24149,53.308,95.36111111,0.037697556,1,39,30556,29,7.5,95.1,1876327.80,0,0
0,23915,35.73,46.8697318,0.094871565,0,3,29762,51,11.1,91.7,234806.20,0,0
0,23234,111.31,14.60971112,0.062868896,0,3,21334,31,8.1,93.4,234806.20,0,0
0,22583,113.509,27.25154131,-0.071230459,0,39,26317,176,11.4,93,1876327.80,0,0
0,22288,154.39,17.51827782,-0.09131131,0,39,21852,45,-0.2,92.1,1876327.80,0,0
0,22252,123.724,24.05966851,-0.068850496,0,39,23377,63,2.8,95,1876327.80,0,0
0,21780,113.17,19.08340573,0.025491386,2,267,27233,55,-14,91.2,2885627.30,1,0
0,21765,0,11.51386623,-0.067594346,2,4,23533,46,8.5,94.9,385834.80,0,0
0,21670,79.718,23.25660793,-0.079267495,1,39,22072,93,-7,93.2,1876327.80,0,0
0,21494,72.706,23.54777778,-0.032459825,1,39,24090,133,12.1,89.8,1876327.80,0,0
0,21471,13.2085097,11.38115183,0.044995673,11,12,24018,53,-2,94.9,191965.20,0,0
0,21443,83.982,31.15287518,0.128830614,0,39,20509,23,1.9,92.3,1876327.80,0,0
0,21398,156.314,22.49892009,-0.075482583,0,39,25130,46,-2.3,83.8,1876327.80,0,0
0,21246,121.602,23.36723769,0.130770426,0,39,23503,34,3.5,96.5,1876327.80,0,0
0,21167,138.375,15.19241012,0.302008445,0,39,19847,134,-12.2,69.7,1876327.80,0,0
