Pop_2021,total_mileage_of_freeways,densityMi,growthSince2010,#_BurgerKing,GDP_of_State,#_innout_state,median_income_capita,GDP _capita,Percent_Change_GDP,percent_white,CA_Dummy
35896.0000000000,69.4320000000,82.9908045977,0.0123100219,1.0000000000,367776.0000000000,0.0000000000,18113.0000000000,21.1268107867,8.2000000000,95.0000000000,0.0000000000
57227.0000000000,63.6460000000,138.4988344988,0.1253882870,2.0000000000,367776.0000000000,0.0000000000,21123.0000000000,49.4360529121,6.2000000000,92.3000000000,0.0000000000
14012.0000000000,40.5020000000,51.5300751880,-0.0602632661,0.0000000000,367776.0000000000,0.0000000000,19270.0000000000,38.7890379675,3.5000000000,82.5000000000,0.0000000000
60568.0000000000,69.4320000000,92.0293685756,0.1180846699,1.0000000000,367776.0000000000,0.0000000000,21674.0000000000,27.3238343680,7.5000000000,96.9000000000,0.0000000000
708490.0000000000,17.3580000000,1473.5000000000,0.1850431081,27.0000000000,367776.0000000000,0.0000000000,28971.0000000000,101.2271097687,13.8000000000,65.3000000000,0.0000000000
11460.0000000000,52.0740000000,33.9491017964,-0.0355532874,0.0000000000,367776.0000000000,0.0000000000,23760.0000000000,24.3191972077,1.2000000000,94.8000000000,0.0000000000
19875.0000000000,52.0740000000,67.3947368421,0.0942690808,0.0000000000,367776.0000000000,0.0000000000,22451.0000000000,33.1775597484,14.5000000000,94.9000000000,0.0000000000
54000.0000000000,75.2180000000,113.6938775510,0.1216929086,2.0000000000,367776.0000000000,0.0000000000,22191.0000000000,34.7683148148,8.1000000000,92.7000000000,0.0000000000
36975.0000000000,63.6460000000,70.9804687500,-0.0519890440,1.0000000000,367776.0000000000,0.0000000000,22925.0000000000,46.2019472617,13.0000000000,82.7000000000,0.0000000000
41584.0000000000,69.4320000000,61.0836879433,0.1210788014,0.0000000000,367776.0000000000,0.0000000000,28946.0000000000,27.5239274721,6.3000000000,70.2000000000,0.0000000000
18385.0000000000,52.0740000000,37.3707414830,0.0383651651,0.0000000000,367776.0000000000,0.0000000000,16283.0000000000,24.9802556432,5.0000000000,97.7000000000,0.0000000000
42528.0000000000,69.4320000000,78.1407942238,0.0545162233,1.0000000000,367776.0000000000,0.0000000000,23099.0000000000,26.7365265237,9.8000000000,91.4000000000,0.0000000000
50278.0000000000,86.7900000000,84.0033167496,0.0195439084,2.0000000000,367776.0000000000,0.0000000000,20189.0000000000,27.4659692112,7.2000000000,79.6000000000,0.0000000000
30197.0000000000,92.5760000000,50.0883797054,0.0379515008,1.0000000000,367776.0000000000,0.0000000000,20182.0000000000,35.7923965957,7.6000000000,86.4000000000,0.0000000000
23377.0000000000,57.8600000000,84.6548042705,0.0499183475,0.0000000000,367776.0000000000,0.0000000000,18475.0000000000,18.1794926637,10.5000000000,97.1000000000,0.0000000000
69926.0000000000,115.7200000000,113.4212218650,0.0249451555,1.0000000000,367776.0000000000,0.0000000000,19998.0000000000,32.3819180276,7.2000000000,95.5000000000,0.0000000000
13471.0000000000,23.1440000000,37.4388888889,-0.0164197621,0.0000000000,367776.0000000000,0.0000000000,15581.0000000000,16.1544057605,4.8000000000,97.1000000000,0.0000000000
64184.0000000000,40.5020000000,404.2670807453,0.0406593758,2.0000000000,367776.0000000000,0.0000000000,20675.0000000000,46.9362457933,9.4000000000,91.4000000000,0.0000000000
363790.0000000000,81.0040000000,692.1199261993,0.1149190253,16.0000000000,367776.0000000000,0.0000000000,27464.0000000000,66.0802221062,7.1000000000,75.9000000000,0.0000000000
6695.0000000000,34.7160000000,29.7927927928,-0.0300630591,0.0000000000,367776.0000000000,0.0000000000,15464.0000000000,12.6348020911,10.3000000000,97.2000000000,0.0000000000
25612.0000000000,69.4320000000,37.3128742515,-0.0854217884,1.0000000000,367776.0000000000,0.0000000000,14954.0000000000,20.2524988287,-0.7000000000,55.3000000000,0.0000000000
